Sampling Date,Site ID,Park ID,Project ID,Lat (°N),Long (°W),Water Temp (°C),COND,PH,DO (mg/L),"UV Absorbance, 254nm",DOC,"SUVA, 254nm",Total Iron [mg/L],"Fe Corr'd SUVA, 254nm",HPOA SUVA (254nm),HPOA %,HPON %,HPI SUVA (254nm),HPI %,TPIA SUVA (254nm),TPIA %,AMMONIA_N,NITRATE_NITRITE_N,"NO2-N 
(mg N/L)",PTL,"TDN 
(mg N/L)",UTN (mgN/L),"TDP 
(mg P/L)",UTP (mgP/L),CHLORIDE,SULFATE,"F 
(mg/L)","Br 
(mg/L)",SODIUM,POTASSIUM,CALCIUM,MAGNESIUM,TOC (mgC/L),ANC,DIC (mg/L),d18O,dD,Al (µg/L),P (µg/L),Ti (µg/L),Cr (µg/L),Mn (µg/L),Fe* (µg/L),Co (µg/L),Ni (µg/L),Cu (µg/L),Zn (µg/L),As (µg/L),Sr (µg/L),Cd (µg/L),Sn (µg/L),Sb (µg/L),Te (µg/L),Ba (µg/L),Pb (µg/L),FeTot?,Fe(II)/FeTot,Fe(II) (µg/L),Fe(III) (µg/L),
6/21/2013,Kugruk River,BELA,BITE,65.567034,-162.927644,12.3,45,6.45,10.5,0.108,4.2,2.5,-,-,-,-,-,-,-,-,-,*0.002,0.023,-,0.019,0.2,-,0.025,-,1.57,0.39,0.04,*0.00,2.46,0.65,2.15,2.11,-,-,-,-15.6,-121.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
6/21/2013,Kuzitrin River,BELA,BITE,65.42459,-164.135333,16.2,93,7.26,9.8,0.081,2.3,3.5,0.06,3.3,4.2,51%,-,-,-,2.3,20%,*0.002,0.002,-,0.014,0.08,-,0.018,-,1.04,6.52,0.05,*0.00,2.29,0.76,10.11,3.21,-,-,-,-16.1,-120.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
7/15/2014,Agagrak Creek,CAKR,ARCN,67.52573,-163.97139,8.7,123.4,7.43,10.3,0.078,3,2.6,< 0.02,-,-,-,-,-,-,-,-,*0.004,0.031,-,*0.001,0.12,0.1,*0.001,*0.001,1.32,2,-,-,1.45,0.3,14.07,4.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
 7/25/2019,Agagrak Creek,CAKR,ARCN,65.525467,-163.973571,11.6,124.1,7.54,10.2,0.04,2.2,1.8,*0.03,,,,,,,,,0.014,0.02,-,0.002,0.12,0.11,*0.002,0.003,2.45,4.14,-,-,1.98,0.37,19.57,6.69,1.62,53.87,15.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/20/2013,Ahnewetut Creek,KOVA,ARCN,67.167143,-158.783342,9.7,216,8.87,10,0.098,4,2.5,-,-,-,-,-,-,-,-,-,0.025,0.008,-,*0.000,0.21,-,*0.001,-,0.26,0.03,*0.01,*0.00,0.83,0.14,40.62,3.51,-,-,-,-16.7,-133.8,3.9,13.1,0.5,-,109.3,587,0.3,0.3,-,0.4,1,80.7,0.1,-,-,-,14.9,-,587,0.28,167,420,
7/22/2017,Ahnewetut Creek,KOVA,ARCN,67.167143,-158.783342,17,244.2,7.8,9.2,0.09,3.8,2.3,*0.04,-,-,-,-,-,-,-,-,0.052,0.014,-,*0.001,0.22,0.19,*0.000,0.009,0.35,0.04,-,-,1.05,0.19,24.8,3.87,3.02,100.39,31.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/20/2013,Akillik River,KOVA,ARCN,67.200693,-158.571922,8.3,196,7.52,-,0.057,1.8,3.2,-,-,-,-,-,-,-,-,-,*0.000,0.071,-,*0.000,0.14,-,*0.001,-,0.21,6.96,0.04,*0.00,0.88,0.51,27.84,5.1,-,-,-,-18.6,-144.6,7.6,4,0.1,-,11.3,305.1,0.2,0.4,0.3,-,0.3,99.6,-,-,-,-,17.7,-,305.1,0.14,42,263.3,
6/11/2017,Akillik River,KOVA,HEAT,67.200693,-158.571922,5.2,164.1,7.31,12.8,0.064,2.2,2.9,0.08,-,-,-,-,-,-,-,-,*0.002,0.335,-,0.002,0.43,0.41,*0.001,*0.000,0.37,6.44,-,-,0.43,0.14,13.67,2.88,1.67,24.41,5.34,-18.4,-132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/22/2017,Akillik River,KOVA,HEAT,67.200693,-158.571922,4.5,161.3,8,13,0.028,1.1,2.5,*0.02,-,-,-,-,-,-,-,-,*0.006,0.405,-,*0.001,0.46,0.51,*0.000,0.008,0.3,10.06,-,-,0.84,0.08,19.7,4.15,0.91,40.35,10.83,-18.1,-131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/13/2018,Akillik River,KOVA,HEAT,67.200693,-158.571922,3.8,-,-,12.6,-,-,-,*0.06,-,-,-,-,-,-,-,-,*0.007,0.441,-,*0.001,0.46,-,*0.001,-,0.5,10.48,-,-,0.55,0.14,17.88,4.6,-,-,7.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/30/2018,Akillik River,KOVA,HEAT,67.200693,-158.571922,5.9,334.8,7.9,12.1,0.019,1.1,1.7,*0.02,-,-,-,-,-,-,-,-,*0.010,0.447,-,0.002,0.54,-,*0.000,*0.000,0.37,20.65,-,-,0.63,0.14,26.31,7.25,0.85,31.16,9.41,-18.1,-132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/4/2019,Akillik River,KOVA,HEAT,67.200693,-158.571922,-,-,-,-,0.044,2.6,1.7,*0.03,,,,,,,,,*0.007,0.493,-,*0.001,0.57,0.65,*0.001,0.003,0.49,7.12,-,-,0.47,0.22,24.03,5.01,0.95,48.03,-,-18.5,-139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/27/2013,Kugururok River,NOAT,BITE,67.995656,-161.866934,11,303,8.03,10.5,0.022,1,2.3,-,-,-,-,-,-,-,-,-,*0.000,0.041,-,*0.000,0.08,-,*0.001,-,0.32,22.62,0.02,*0.00,2.75,0.35,42.2,8.61,-,-,-,-18.5,-141.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
 8/22/2019,Akillik River,KOVA,HEAT,67.200693,-158.571922,8,200.9,7.95,11.6,0.034,1.7,2,-,,,,,,,,,*0.010,0.566,-,*0.000,0.62,0.63,*0.000,*0.002,0.33,22.01,-,-,0.71,0.13,26.29,7.7,0.79,29.63,7.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/28/2013,Aklumayuak River,NOAT,ARCN,67.904779,-160.26924,11.4,235,7.91,6.6,0.109,4.3,2.6,-,-,-,-,-,-,-,-,-,*0.003,0.077,-,*0.000,0.22,-,*0.001,-,0.35,11.97,0.02,*0.00,0.88,0.26,31.01,10.31,-,-,-,-19.7,-150.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
8/6/2014,Alatna River,GAAR,ARCN,66.61375,-152.62088,19,229.6,-,6.7,0.097,3.3,3,-,-,3.6,44%,3%,0.7,25%,2.3,21%,*0.002,0.11,-,*0.000,0.27,0.23,*0.001,0.004,0.27,28.82,-,-,1.58,0.7,48.54,17.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
